bookid,bookname,author,binding,bindingname,press,price,prodnum,newminprice,newprodnum,oldminprice,oldprodnum,pubdate,qualityname,bigimgurl,smallimgurl,subtitle,updatetime,detail_url
56559824,他改变了中国,[美]库恩  著；谈峥、于海江  译,精装,,上海译文出版社,48.00,39,20.00,4,6.00,35,2005-03,,http://booklibimg.kfzimg.com/data/book_lib_img_v2/isbn/0/fe2f/fe2f24d2fb8660063b3246daf1037967_0_0_0_0.jpg,http://booklibimg.kfzimg.com/data/book_lib_img_v2/isbn/0/fe2f/fe2f24d2fb8660063b3246daf1037967_0_0_0_0.jpg,江泽民传,早于2007年,http://item.kongfz.com/book/56559824.html
32404600,他改变了中国：江泽民传,[美]库恩  著；谈峥、于海江  译,精装,,上海译文出版社,88.00,24,44.88,3,8.00,21,2005-02,,http://booklibimg.kfzimg.com/data/book_lib_img_v2/isbn/0/e7ba/e7ba554d41fdb27f29b495f419a37d2c_0_0_0_0.jpg,http://booklibimg.kfzimg.com/data/book_lib_img_v2/isbn/0/e7ba/e7ba554d41fdb27f29b495f419a37d2c_0_0_0_0.jpg,,早于2007年,http://item.kongfz.com/book/32404600.html
50566782,他改变了中国：江泽民传,[美]罗伯特·劳伦斯·库恩  著；谈峥、于海江  译,平装,,上海译文出版社,38.00,332,17.48,38,2.80,294,2005-01,,http://booklibimg.kfzimg.com/data/book_lib_img_v2/isbn/0/69fd/69fd900a41106eab8c95be68dafa54c3_0_0_0_0.jpg,http://booklibimg.kfzimg.com/data/book_lib_img_v2/isbn/0/69fd/69fd900a41106eab8c95be68dafa54c3_0_0_0_0.jpg,,早于2007年,http://item.kongfz.com/book/50566782.html
