bookid,bookname,author,binding,bindingname,press,price,prodnum,newminprice,newprodnum,oldminprice,oldprodnum,pubdate,qualityname,bigimgurl,smallimgurl,subtitle,updatetime,detail_url
42789052,重读《资本论》,[德]马克思  原著；王珏领读,精装,,人民出版社,680.00,13,0.00,0,18.00,13,1998,,,,,早于2007年,http://item.kongfz.com/book/42789052.html
64093747,资本论（纪念版）（16开特精装）第1卷,马克思  著,精装,,人民出版社,145.00,27,95.70,13,100.00,14,2018-04,,http://booklibimg.kfzimg.com/data/book_lib_img_v2/isbn/0/67f8/67f8ade52085bf21e0798e651104392b_0_0_0_0.jpg,http://booklibimg.kfzimg.com/data/book_lib_img_v2/isbn/0/67f8/67f8ade52085bf21e0798e651104392b_0_0_0_0.jpg,,早于2007年,http://item.kongfz.com/book/64093747.html
43262780,资本论,[德]马克思  著；郭大力、王亚南  译,,,北京理工大学出版社,152.00,5,0.00,0,25.00,5,2011,,,,,早于2007年,http://item.kongfz.com/book/43262780.html
48284813,资本论（节选本）（马列主义经典作家文库著作单行本）,马克思,其他,,人民出版社,88.00,41,30.00,26,5.00,15,2016-12,,http://booklibimg.kfzimg.com/data/book_lib_img_v2/isbn/0/8f60/8f6054cdf84d202216f653fc36f09429_0_0_0_0.jpg,http://booklibimg.kfzimg.com/data/book_lib_img_v2/isbn/0/8f60/8f6054cdf84d202216f653fc36f09429_0_0_0_0.jpg,,早于2007年,http://item.kongfz.com/book/48284813.html
41710250,《资本论》纪念版（16开特精装三卷本）第3卷,马克思  著,其他,,人民出版社,155.00,26,102.30,10,96.50,16,2018-05,,http://booklibimg.kfzimg.com/data/book_lib_img_v2/isbn/0/522b/522b874173814ef8d71fc363cec17305_0_0_0_0.jpg,http://booklibimg.kfzimg.com/data/book_lib_img_v2/isbn/0/522b/522b874173814ef8d71fc363cec17305_0_0_0_0.jpg,,早于2007年,http://item.kongfz.com/book/41710250.html
27622326,《资本论》纪念版（32开普精装三卷本）第3卷,马克思  著,其他,,人民出版社,97.00,27,62.40,15,70.81,12,2018-05,,http://booklibimg.kfzimg.com/data/book_lib_img_v2/isbn/0/baa5/baa59c0ce7b8d8170333e6e14159efae_0_0_0_0.jpg,http://booklibimg.kfzimg.com/data/book_lib_img_v2/isbn/0/baa5/baa59c0ce7b8d8170333e6e14159efae_0_0_0_0.jpg,,早于2007年,http://item.kongfz.com/book/27622326.html
23438533,决定经典005：资本论（全新修订版）,[德]卡尔·马克思  著；曾令先、卞彬、金永  译,平装,,江苏人民出版社,65.00,83,22.75,18,5.00,65,2011-03,,http://booklibimg.kfzimg.com/data/book_lib_img_v2/isbn/0/3642/3642899ad7ed4b93c09e7c7fbdd7745a_0_0_0_0.jpg,http://booklibimg.kfzimg.com/data/book_lib_img_v2/isbn/0/3642/3642899ad7ed4b93c09e7c7fbdd7745a_0_0_0_0.jpg,,早于2007年,http://item.kongfz.com/book/23438533.html
48024925,漫画资本论,[德]卡尔·马克思  著,平装,,吉林文史出版社,42.00,1,0.00,0,26.00,1,2009-11,,http://booklibimg.kfzimg.com/data/book_lib_img_v2/isbn/0/5a38/5a3858f9c30479eab02f8e6c6a167d6d_0_0_0_0.jpg,http://booklibimg.kfzimg.com/data/book_lib_img_v2/isbn/0/5a38/5a3858f9c30479eab02f8e6c6a167d6d_0_0_0_0.jpg,,早于2007年,http://item.kongfz.com/book/48024925.html
57295600,资本论纪念版（32开普精装）第2卷,马克思  著,精装,,人民出版社,53.00,21,33.39,12,37.10,9,2018-04,,http://booklibimg.kfzimg.com/data/book_lib_img_v2/isbn/0/f36e/f36e1ee99b60cceec6c90e97c89811c0_0_0_0_0.jpg,http://booklibimg.kfzimg.com/data/book_lib_img_v2/isbn/0/f36e/f36e1ee99b60cceec6c90e97c89811c0_0_0_0_0.jpg,,早于2007年,http://item.kongfz.com/book/57295600.html
22226293,《资本论》纪念版（16开特精装三卷本）第2卷,马克思  著,其他,,人民出版社,88.00,31,55.44,17,64.24,14,2018-05,,http://booklibimg.kfzimg.com/data/book_lib_img_v2/isbn/0/5cca/5cca6e02a48d337be992756e54970e5d_0_0_0_0.jpg,http://booklibimg.kfzimg.com/data/book_lib_img_v2/isbn/0/5cca/5cca6e02a48d337be992756e54970e5d_0_0_0_0.jpg,,早于2007年,http://item.kongfz.com/book/22226293.html
48436893,资本论纪念版（32开普精装）第1卷,马克思  著,精装,,人民出版社,90.00,26,55.80,17,65.70,9,2018-04,,http://booklibimg.kfzimg.com/data/book_lib_img_v2/isbn/0/0dc4/0dc4c49a62252c0a3cea2ca33d1f60ef_0_0_0_0.jpg,http://booklibimg.kfzimg.com/data/book_lib_img_v2/isbn/0/0dc4/0dc4c49a62252c0a3cea2ca33d1f60ef_0_0_0_0.jpg,,早于2007年,http://item.kongfz.com/book/48436893.html
38744139,简明《资本论》（每个人都能读懂的《资本论》；历次《资本论》中文版定稿人张钟朴先生重新审订）,卡尔·马克思,其他,,天地出版社,58.00,14,34.80,12,39.44,2,2018-08,,http://booklibimg.kfzimg.com/data/book_lib_img_v2/isbn/0/11ec/11ec45615056ce97216a475498956fa1_0_0_0_0.jpg,http://booklibimg.kfzimg.com/data/book_lib_img_v2/isbn/0/11ec/11ec45615056ce97216a475498956fa1_0_0_0_0.jpg,,早于2007年,http://item.kongfz.com/book/38744139.html
43051260,资本论（节选本）,马克思、中共中央马克思恩格斯列  著,平装,,人民出版社,90.00,27,44.10,22,7.00,5,2018-04,,http://booklibimg.kfzimg.com/data/book_lib_img_v2/isbn/0/3497/3497b0d3ec096c4fee4f01129206cbe0_0_0_0_0.jpg,http://booklibimg.kfzimg.com/data/book_lib_img_v2/isbn/0/3497/3497b0d3ec096c4fee4f01129206cbe0_0_0_0_0.jpg,,早于2007年,http://item.kongfz.com/book/43051260.html
54790960,剩余价值学说史《资本论》第四卷（全三册）,[德]马克思  著；郭大力  译,平装,,北京理工大学出版社,128.00,3,0.00,0,22.00,3,2011-06,,http://booklibimg.kfzimg.com/data/book_lib_img_v2/isbn/0/8571/85714392951ec34ba66a55d292285294_0_0_0_0.jpg,http://booklibimg.kfzimg.com/data/book_lib_img_v2/isbn/0/8571/85714392951ec34ba66a55d292285294_0_0_0_0.jpg,,早于2007年,http://item.kongfz.com/book/54790960.html
53928207,汉译文库:资本论（上中下）,[德]卡尔 马克思  著；王亚南  译；郭大力,精装,,北京联合出版公司,198.00,12,69.00,4,20.00,8,2014-03,,http://booklibimg.kfzimg.com/data/book_lib_img_v2/isbn/0/29a6/29a6f2a1f8e40e350b0f1fddbc0de546_0_0_0_0.jpg,http://booklibimg.kfzimg.com/data/book_lib_img_v2/isbn/0/29a6/29a6f2a1f8e40e350b0f1fddbc0de546_0_0_0_0.jpg,,早于2007年,http://item.kongfz.com/book/53928207.html
59378001,图说经典系列：资本论,[德]卡尔·马克思  著；李睿  译,平装,,武汉出版社,39.80,2,22.41,1,43.00,1,2012-08,,http://booklibimg.kfzimg.com/data/book_lib_img_v2/isbn/0/66b1/66b1d860cd2a7f5e8a05a61b9e471965_0_0_0_0.jpg,http://booklibimg.kfzimg.com/data/book_lib_img_v2/isbn/0/66b1/66b1d860cd2a7f5e8a05a61b9e471965_0_0_0_0.jpg,,早于2007年,http://item.kongfz.com/book/59378001.html
47322765,资本论（影印限量版）,[德]马克思  著；郭大力  译,平装,,译林出版社,598.00,4,360.80,1,420.00,3,2012-01,,http://booklibimg.kfzimg.com/data/book_lib_img_v2/isbn/0/88b3/88b3fa87a1bef2c3883858df16aadd0f_0_0_0_0.jpg,http://booklibimg.kfzimg.com/data/book_lib_img_v2/isbn/0/88b3/88b3fa87a1bef2c3883858df16aadd0f_0_0_0_0.jpg,,早于2007年,http://item.kongfz.com/book/47322765.html
34360921,资本论：对人类历史产生深远影响的经济学经典（图说经典缩译彩图本）,[德]卡尔·马克思  著；李睿  译,平装,,武汉出版社,38.00,7,0.00,0,5.00,7,2010-02,,http://booklibimg.kfzimg.com/data/book_lib_img_v2/isbn/0/2915/2915da637cefaa461e1ce79de22fb49d_0_0_0_0.jpg,http://booklibimg.kfzimg.com/data/book_lib_img_v2/isbn/0/2915/2915da637cefaa461e1ce79de22fb49d_0_0_0_0.jpg,,早于2007年,http://item.kongfz.com/book/34360921.html
60105138,资本论,马克思  著；郭大力、王亚南  译,,,上海三联书店,198.00,10,0.00,0,12.00,10,2013,,,,,早于2007年,http://item.kongfz.com/book/60105138.html
