公司全名,公司简称,公司规模,融资阶段,区域,职位名称,工作经验,学历要求,工资,职位福利
广东道一信息技术股份有限公司,道一信息,500-2000人,上市公司,天河区,产品经理,3-5年,大专,9k-15k,五险一金，节假日福利，餐补，员工旅游
广州新车评企业营销策划有限公司,新车评网,15-50人,未融资,海珠区,产品经理,1-3年,本科,4k-6k,"双休,年底双薪,国外旅游,五险一金"
广州新车评企业营销策划有限公司,新车评网,15-50人,未融资,海珠区,产品经理,1-3年,本科,4k-6k,"双休,年底双薪,国外旅游,五险一金"
广州博日信息科技有限公司,广州博日科技,50-150人,未融资,天河区,产品经理,5-10年,本科,8k-15k,"发展空间大,工作氛围好,前景好,开心"
广州云湾信息技术有限公司,云智易,50-150人,B轮,海珠区,产品经理,1-3年,本科,8k-15k,"朝阳企业,高颜值"
广东灵机文化传播有限公司,灵机文化,150-500人,不需要融资,天河区,产品经理,1-3年,本科,8k-15k,无息贷款30W购房
广东修炼科技股份有限公司,修炼,50-150人,不需要融资,天河区,高级产品经理/总监,5-10年,本科,20k-30k,"扁平化管理,晋升空间大"
深圳云介信息科技有限公司,芥末圈,50-150人,B轮,海珠区,高级产品经理,3-5年,本科,15k-25k,"五险一金,周末双休,下午茶歇,弹性工作"
广州小迈网络科技有限公司,车主无忧,150-500人,A轮,天河区,产品经理,1-3年,本科,8k-10k,"大牛多,团队年轻,双休弹性,平台宽"
广州茂狮呙芙生物科技有限公司,茂狮呙芙,15-50人,天使轮,黄埔区,产品经理,1-3年,大专,1k-2k,"调研,产品定位"
广州探迹科技有限公司,探迹,50-150人,B轮,番禺区,产品经理（C端）,1-3年,本科,10k-20k,"大数据AI,扁平管理,五险一金,期权激励"
广州优识科技资讯股份有限公司,广州优识,150-500人,A轮,天河区,产品经理,3-5年,本科,8k-12k,"产品,大项目,营销,电商"
广州花彤信息科技有限公司,广州花彤信息科技有限公司,50-150人,未融资,番禺区,产品经理,3-5年,大专,15k-20k,"五险一金,周末双休,餐补车补,下午茶"
广州东百信息科技有限公司,东百,50-150人,不需要融资,海珠区,产品经理,1-3年,本科,8k-15k,"稳定项目,靠谱团队,奖励丰厚"
帛珑（深圳）科技有限公司,德国帛珑,15-50人,A轮,荔湾区,产品经理,1-3年,大专,10k-20k,"全网营销,初创品牌,市场拓展,产品运营"
广州棒谷科技股份有限公司,广州棒谷科技股份有限公司,2000人以上,不需要融资,白云区,数据产品经理,1-3年,大专,13k-25k,"大数据,大型电商"
广州市岂凡网络技术有限公司,广州岂凡,50-150人,不需要融资,天河区,产品经理,不限,本科,15k-20k,"高薪,福利好,发展前景好,项目棒"
广州市岂凡网络技术有限公司,广州岂凡,50-150人,不需要融资,天河区,产品经理,不限,本科,15k-20k,"高薪,福利好,发展前景好,项目棒"
广州市加减信息技术有限公司,加减信息,50-150人,未融资,天河区,产品经理,1-3年,本科,10k-15k,"五险一金,带薪年假,绩效奖,晋升奖金多"
海南大圣娱乐有限公司,大圣live,50-150人,不需要融资,越秀区,高级产品经理,5-10年,本科,20k-30k,"鹅厂投资,大牛团队,优质项目,短视频"
广州大麦信息科技有限公司,大麦电商,150-500人,天使轮,越秀区,产品经理,3-5年,本科,8k-13k,"五险一金,年度旅游,定期体检,绩效奖金"
广州棒谷科技股份有限公司,广州棒谷科技股份有限公司,2000人以上,不需要融资,白云区,搜索产品经理,1-3年,大专,10k-20k,"大平台,高绩效,五险一金"
广东海印集团股份有限公司,海印,2000人以上,上市公司,越秀区,产品经理,3-5年,本科,15k-20k,"金融大咖,上市企业,牌照,团队棒"
广州经传多赢投资咨询有限公司,经传多赢,2000人以上,不需要融资,番禺区,app产品经理,1-3年,本科,6k-12k,"五险一金,年底多薪,员工旅游,高成长团队"
广州多融信息科技有限公司,广州多融信息科技有限公司,15-50人,未融资,天河区,产品经理,1-3年,大专,8k-15k,"五险一金,下午茶,包午餐,年终奖"
广州影子控股股份有限公司,影子控股,150-500人,未融资,天河区,产品经理,3-5年,本科,17k-34k,"高薪,五险一金,带薪年假,发展空间大"
广州博冠光电科技股份有限公司,博冠,150-500人,上市公司,黄埔区,产品经理,5-10年,硕士,18K-36K,"五险一金,带薪年假,高企,新三板"
广州铠源信息科技有限公司,铠源科技,50-150人,不需要融资,天河区,高级产品经理,5-10年,本科,15k-20k,"高速发展,团队融洽,扁平管理,敏捷开发"
广东绘宇智能勘测科技有限公司,绘宇智能勘测,150-500人,上市公司,天河区,产品经理,1-3年,大专,6k-9k,"五险一金,带薪年假,年终奖金,节日福利"
广州餐道信息科技有限公司,广州餐道,150-500人,未融资,荔湾区,产品经理,3-5年,不限,10k-15k,"五险一金,扁平管理,年终奖金,弹性上班"
广州邦聚网络技术有限公司,邦聚网络,15-50人,未融资,天河区,产品经理,1-3年,本科,8k-9k,"福利多,气氛好,下午茶,活动派对"
广州建软科技股份有限公司,建软,50-150人,上市公司,萝岗区,产品经理,3-5年,本科,8k-12k,"五险一金,股权,项目奖金"
广州棒谷科技股份有限公司,广州棒谷科技股份有限公司,2000人以上,不需要融资,白云区,搜索产品经理,1-3年,大专,10k-20k,"大平台,高绩效,五险一金"
广州零美生物医药科技有限公司,零美云合,15-50人,未融资,天河区,产品经理,3-5年,大专,6k-10k,"团队活动多,妹纸多,五险一金"
广东灵机文化传播有限公司,灵机文化,150-500人,不需要融资,天河区,道具产品经理,1-3年,本科,8k-15k,1亿用户交你任性，项目提成丰厚
广州前实网络科技有限公司,前实科技,50-150人,A轮,白云区,产品经理,3-5年,大专,8k-15k,"团队年轻,环境优越,老板亲和,潜力无限"
广州引力网络科技有限公司,引力科技,15-50人,天使轮,天河区,产品经理-平台方向,3-5年,本科,15K-25K,"福利好,股份/期权,背景深厚"
广州牛犊秀信息科技有限公司,牛犊秀,15-50人,天使轮,海珠区,产品经理,3-5年,本科,10k-18k,"五险一金,午餐环境好,团队同事好"
广州技客信息科技有限公司,技客公司,15-50人,不需要融资,天河区,产品经理,3-5年,大专,12K-15K,开放的办公空间，欢乐和谐的工作环境。
广州我在网络科技有限公司,广州我在网络科技有限公司,15-50人,天使轮,海珠区,高级产品经理,3-5年,本科,15k-20k,"丰厚期权,年终奖金,五险一金,扁平化管理"
广东优计划科技有限公司,优计划科技,50-150人,未融资,天河区,中级产品经理,1-3年,本科,9k-15k,"距离地铁近,牛人多,发展前景,每周下午茶"
荣邦科技有限公司,荣邦科技,150-500人,C轮,越秀区,产品经理,3-5年,大专,15k-20k,"银联子公司,双休,急聘,五险一金"
广州盈通电子科技有限公司,盈通集团,150-500人,不需要融资,天河区,产品经理,3-5年,本科,8k-15k,"发展空间,精英团队,环境优越,福利优厚"
深圳乐摇摇信息科技有限公司广州分公司,乐摇摇,150-500人,B轮,番禺区,产品经理,3-5年,本科,12K-20K,"优秀团队,优秀平台,五险一金,带薪年假"
广东洪睿信息科技有限公司,广东洪睿科技,15-50人,不需要融资,天河区,产品经理,1-3年,本科,9K-15K,"各类福利多,发展空间大,产品厉害,工作氛围好"
广州中长康达信息技术有限公司,中长康达,150-500人,未融资,天河区,产品经理,3-5年,大专,10k-15k,"五险一金,年终奖金,带薪年假,餐费补贴"
美的集团股份有限公司,美的集团IT,2000人以上,上市公司,番禺区,产品经理,3-5年,本科,15k-20k,"六险一金,餐补,节日福利,免费体检"
美的集团股份有限公司,美的集团IT,2000人以上,上市公司,番禺区,产品经理,3-5年,本科,15k-20k,"六险一金,餐补,节日福利,免费体检"
雪松控股集团有限公司,雪松控股集团有限公司,2000人以上,不需要融资,天河区,产品经理,3-5年,本科,10k-20k,"平台大,领导专业,团队氛围好"
广州市星三投资合伙企业（有限合伙）,星三投资,150-500人,不需要融资,天河区,产品经理,3-5年,本科,12k-22k,"五险一金,年终奖金,带薪年假,周末双休"
广州智友网络科技有限公司,智友网络,15-50人,不需要融资,天河区,产品经理,1-3年,本科,9k-15k,"公司前景好,团队年轻,技术成长快"
蜘点商业网络服务有限公司,蜘点商业,2000人以上,不需要融资,天河区,产品经理,5-10年,本科,15k-30k,"地铁口,大平台,领导好,美女如云"
广州云能信息技术有限公司,云能,15-50人,未融资,越秀区,产品经理,3-5年,本科,8K-16K,这里不只是工作，更是一个合作发展平台。
肇庆市玉都天光墟互联网有限公司,玉都天光墟互联网,50-150人,未融资,番禺区,产品经理,1-3年,本科,8k-10k,"带薪年假,绩效奖金,节日福利,弹性工作"
Wealth Corporation,Wealth Corp,50-150人,不需要融资,天河区,产品经理,1-3年,本科,13k-20k,"氛围好,福利好,领导好,活动多"
广州紫鲸互联网科技有限公司,紫鲸互联,50-150人,不需要融资,天河区,产品经理,1-3年,本科,7k-14k,"团队氛围好,移动产品领,团队颜值高,年轻化团队"
广州链云科技有限公司,链云科技,少于15人,未融资,天河区,产品经理,1-3年,本科,8k-12k,"区块链,数字货币"
北京瑞地科技有限公司,REDEFINE,150-500人,不需要融资,天河区,高级产品经理--海外用户增长商业化,3-5年,本科,25k-40k,"五险一金,期权,带薪年假,弹性工作"
武汉屈臣氏个人用品商店有限公司广州分公司,屈臣氏,2000人以上,D轮及以上,越秀区,数据产品经理（新零售）,5-10年,本科,20k-30k,"千万级用户,大数据平台,试用期全薪,精英团队"
广州正峰网络科技有限公司,小乔初驾,15-50人,未融资,越秀区,产品经理,1-3年,大专,10k-15k,"弹性工作,挑战性"
广州天一坊皮具有限公司,天一坊,15-50人,天使轮,,产品经理,不限,本科,15K-25K,发展前景良好
广州汇通国信科技有限公司,汇通国信,150-500人,不需要融资,天河区,产品经理,5-10年,本科,12k-18k,"产品设计,竞品分析,客户引导,项目投标"
广州艾得仕网络科技有限公司,艾得仕科技,少于15人,天使轮,天河区,产品经理,1-3年,本科,10K-15K,想你所想，做你想做，得你所得。
广州环朝商贸有限公司,global-direct,150-500人,未融资,天河区,产品经理,1-3年,大专,8k-10k,"七险一金,周末双休,弹性上班,带薪年假"
广州加研社科技有限公司,广州加研社科技有限公司,15-50人,不需要融资,越秀区,产品经理,1-3年,本科,10k-20k,"互联网公司,toB服务,初创公司"
广州唯厘信息技术有限公司,唯厘科技,15-50人,不需要融资,海珠区,产品经理,1-3年,本科,6k-12k,"项目分红,绩效奖金,办公环境好,地铁口"
广州牧云网络科技有限公司,美甲帮,150-500人,B轮,天河区,资深产品经理,3-5年,本科,15k-25k,"五险一金,团队氛围好,成长空间大"
蓝月亮（中国）有限公司,蓝月亮,2000人以上,不需要融资,黄埔区,产品经理-微信方向,3-5年,本科,25k-50k,"挑战多多,待遇多多,福利多多"
广州源创网络科技有限公司,广州源创,150-500人,不需要融资,黄埔区,产品经理,1-3年,本科,6k-10k,"发展空间大,不定期活动,周末双休,包吃包住"
广州通达汽车电气股份有限公司,广州通达汽车电气股份有限公司,500-2000人,上市公司,白云区,需求工程师/产品经理,1-3年,本科,9k-15k,"绩效奖金,五险一金,员工旅游,带薪假期"
广东医群科技有限公司,名医传世,50-150人,B轮,天河区,产品经理,3-5年,本科,8k-10k,"发展空间广,双休,五险一金,互联网医疗"
广州猫玩网络科技有限公司,猫玩互娱,150-500人,不需要融资,天河区,产品经理,1-3年,本科,8k-15k,"五险一金,年终奖,工作餐,下午茶"
广东道一信息技术股份有限公司,道一信息,500-2000人,上市公司,天河区,产品经理,3-5年,不限,9k-12k,产品经理
广州时刻销销网络科技有限公司,时刻销销,15-50人,未融资,白云区,产品经理,3-5年,本科,8k-11k,项目已经盈利，前景明朗，需执行能力强的人
广州久邦世纪科技有限公司,久邦GOMO,500-2000人,上市公司,越秀区,产品经理（直播）,1-3年,本科,10k-20k,"海外市场,扁平化管理,工作氛围好,项目奖金"
广州探迹科技有限公司,探迹,50-150人,B轮,番禺区,产品经理（B端）,1-3年,本科,10k-20k,"大数据AI,扁平管理,五险一金,期权激励"
优维科技（深圳）有限公司,优维科技,50-150人,A轮,天河区,产品经理,3-5年,本科,10k-20k,"五险一金,带薪年假,年底旅游"
广东道一信息技术股份有限公司,道一信息,500-2000人,上市公司,天河区,产品经理（企微）,3-5年,本科,10k-18k,"五险一金,节日福利,餐补"
优维科技（深圳）有限公司,优维科技,50-150人,A轮,天河区,产品经理,3-5年,本科,10k-20k,"五险一金,带薪年假,年底旅游"
成都霓裳美音文化传播有限公司,成都霓裳,少于15人,未融资,番禺区,产品经理,不限,本科,8k-15k,"五险一金,期权鼓励,节日福利,带薪年假"
广州致景信息科技有限公司,百布,150-500人,B轮,海珠区,产品经理,3-5年,大专,15k-20k,五险一金
广东华风海洋信息系统服务有限公司,华风海洋,15-50人,未融资,越秀区,产品经理,1-3年,本科,9k-15k,"年底双薪,工作氛围好,有食堂,下午茶"
广州维胜信息技术有限公司,搜款网 VVIC,50-150人,A轮,天河区,产品经理（供应链）,1-3年,本科,10k-20k,优秀公司 管理良好 发展空间大 员工成长快
广州市漫灵软件有限公司,漫灵软件,150-500人,未融资,天河区,游戏产品经理,1-3年,大专,10k-15k,"出国旅游,五险一金,包三餐"
广州市盈泽信息科技有限公司,盈泽信息科技有限公司,50-150人,未融资,天河区,产品经理,3-5年,本科,7k-14k,"周末双休,带薪年假,绩效奖金"
蓝月亮（中国）有限公司,蓝月亮,2000人以上,不需要融资,黄埔区,产品经理-CRM会员方向,3-5年,本科,25k-50k,"挑战多多,待遇多多,免费班车,免费住宿"
广州丽晶软件科技股份有限公司,丽晶软件,150-500人,上市公司,番禺区,产品经理,1-3年,本科,10k-20k,"高薪,产品大牛,团队氛围好"
广州宏途教育网络科技有限公司,宏途教育,50-150人,A轮,黄埔区,产品经理,3-5年,本科,8k-15k,"五险一金,周末双休,带薪年假,免费班车"
广东健客医药有限公司,健客网,500-2000人,A轮,萝岗区,数据产品经理,5-10年,本科,13k-25k,"晋升空间大,竞争力薪酬"
广州千煦信息科技有限公司,千煦,15-50人,不需要融资,天河区,产品经理,1-3年,本科,8k-12k,"五险一金,周末双休,员工活动,未来股东"
广州市拿火信息科技有限公司,拿火音乐,15-50人,不需要融资,越秀区,产品经理,1-3年,本科,8k-15k,引领艺术教育创新。
广州棒谷科技股份有限公司,广州棒谷科技股份有限公司,2000人以上,不需要融资,白云区,高级产品经理,3-5年,不限,15k-25k,"五险一金,年终奖金"
广东道一信息技术股份有限公司,道一信息,500-2000人,上市公司,天河区,（高薪诚聘）产品经理,3-5年,本科,10k-18k,"节日福利,项目奖励,五险一金"
广州冠晨网络有限公司,互金跟投,50-150人,不需要融资,天河区,产品经理,1-3年,本科,15k-30k,"年底多薪,带薪年假,股票期权,下午茶"
深圳市星网信通科技有限公司,星网信通,150-500人,未融资,天河区,产品经理,1-3年,大专,6k-12k,"有提成激励,团队氛围好,成长空间大,专业培训多"
ts,播种网,50-150人,天使轮,海珠区,产品经理,1-3年,本科,5k-10k,"搜索引擎,双休,六险一金,年底双薪"
广州国开信息科技有限公司,广州国开信息科技有限公司,50-150人,不需要融资,天河区,产品经理,1-3年,本科,6k-12k,"五险一金,多次调薪,股份期权,各项补贴"
广东绿芒科技有限公司,广东绿芒科技有限公司,15-50人,未融资,天河区,产品经理,3-5年,大专,8k-12k,"需求分析,产品策划,产品设计,产品包装"
广州市纳明网络科技有限责任公司,广州市纳明网络科技有限责任公司,15-50人,不需要融资,天河区,产品经理,1-3年,大专,6k-12k,"五险一金,带薪年假,弹性工作,定期体检"
深圳云介信息科技有限公司,芥末圈,50-150人,B轮,海珠区,会员产品经理,3-5年,本科,15k-25k,"周末双休,法定假日,扁平管理,股票期权"
广州君海网络科技有限公司,君海游戏,150-500人,上市公司,海珠区,产品经理,1-3年,本科,8k-15k,"手游,数据分析,产品"
广州市天诺营销策划有限公司,天诺集团,500-2000人,不需要融资,天河区,产品经理/产品主管,5-10年,大专,8k-15k,"弹性工作,五险一金,下午茶,免费旅游"
广东分利宝金服科技有限公司,光大分利宝,150-500人,C轮,荔湾区,产品经理,3-5年,本科,10k-20k,"产品经理,互联网金融,发展空间大"
广州爱迅信息技术有限公司,爱迅,50-150人,不需要融资,海珠区,产品经理,1-3年,本科,6k-10k,"五险一金,丰厚年终奖,发展前景大,氛围良好"
广州咖芮网络科技有限公司,ModCara,15-50人,天使轮,增城区,产品经理,1-3年,本科,8K-12K,带薪年假 免费零食 高颜值小姐姐多
广州卓牛信息科技有限公司,卓牛科技,15-50人,天使轮,天河区,产品经理,1-3年,本科,6k-12k,"年底双薪,出海方向,季度奖金,带薪年假"
广东飞威集团有限公司,飞威集团,150-500人,未融资,番禺区,产品经理,1-3年,本科,8k-15k,"五险一金,周末双休"
广东云智硬件有限公司,云智硬件,15-50人,未融资,天河区,智能硬件产品经理,3-5年,本科,8k-12k,"五险一金,周末双休,年终双薪,补充医疗保"
广州七七游网络科技有限公司,广州七七游网络科技有限公司,50-150人,未融资,天河区,产品经理,3-5年,大专,8k-15k,"五险一金,带薪病假,下午茶,年终奖"
吉林省海生电子商务有限公司,吉林省海生电子商务有限公司,少于15人,不需要融资,花都区,产品经理,3-5年,本科,12K-20K,五险一金
广州快鱼文化传媒有限公司,快鱼传媒,50-150人,不需要融资,天河区,产品经理,1-3年,本科,5k-10k,"五险一金,扁平化管理,节日福利"
深圳合众财富金融投资管理有限公司广州分公司,合众财富,150-500人,不需要融资,天河区,产品经理,3-5年,本科,15k-25k,"双休,五险一金,CBD,带薪年假"
广州市圣湘琳信息科技有限公司,广州市圣湘琳信息科技有限公司,15-50人,天使轮,天河区,产品经理,1-3年,大专,7k-14k,"扁平化管理,地铁周边,公司氛围好,前进与蜕变"
广州军令状教育咨询有限责任公司,军令状教育,15-50人,不需要融资,天河区,产品经理,1-3年,硕士,12K-20K,可成重要股东、合伙人
佛山市博纳德信息科技有限公司,博纳德,150-500人,天使轮,天河区,产品经理,3-5年,本科,15K-25K,周末双休 节日福利 员工旅游 带薪年假
广州慧亚文化传媒有限公司,慧亚文化,50-150人,不需要融资,海珠区,产品经理,3-5年,大专,10k-15k,"五险一金,餐补,带薪病假,员工活动"
深圳市心迹教育科技有限责任公司,心迹教育~,15-50人,天使轮,番禺区,产品经理,1-3年,本科,10k-12k,"五险一金,周末双休,交通便利,扁平化管理"
大圣科技股份有限公司,大圣科技,150-500人,不需要融资,荔湾区,产品经理,5-10年,本科,15k-25k,发展空间大，汽车+互联网
广州扁鸿信息科技有限公司,扁鸿信息,少于15人,不需要融资,越秀区,产品经理,1-3年,本科,8k-16k,"股票期权,年终分红,不加班,领导好"
万惠投资管理有限公司,PPmoney互联网金融平台,500-2000人,上市公司,天河区,产品经理（汽车金融） (MJ000881),3-5年,不限,10k-18k,"五险一金,团队氛围好,周末双休,提供早中餐"
北京艾佳天诚信息技术有限公司广州分公司,北京艾佳,50-150人,未融资,天河区,产品经理,不限,大专,5k-7k,"帅哥如云,氛围轻松"
广州优识科技资讯股份有限公司,广州优识,150-500人,A轮,天河区,高级产品经理,3-5年,本科,10k-15k,"互联网,电子商务"
广州辰岚广告有限公司,辰岚广告,150-500人,不需要融资,天河区,产品经理,3-5年,大专,8k-15k,"六险一金,发展空间,年轻化团队"
易简广告传媒集团股份有限公司,易简新媒体传媒集团,150-500人,不需要融资,天河区,产品经理,1-3年,本科,7k-9k,"新三板企业,新媒体建设,五险一金,带薪年假"
广州棒谷科技股份有限公司,广州棒谷科技股份有限公司,2000人以上,不需要融资,白云区,电商产品经理,3-5年,大专,10k-18k,"大型电商,高流量,绩效奖金多,双休"
浩云科技股份有限公司,浩云科技,500-2000人,上市公司,番禺区,产品经理,5-10年,本科,10k-20k,丰厚的年终奖金，广阔的发展空间
广东达文奇人工智能科技有限公司,波浪证劵,50-150人,天使轮,天河区,互金产品经理,3-5年,本科,10k-20k,"甲级写字楼,老板nic,生日会,周末双休"
广东联合电服数据科技股份有限公司,联合数据公司,15-50人,未融资,越秀区,产品经理,1-3年,本科,8k-16k,"员工旅游,餐饮补贴,交通补贴,补充公积金"
广州亿程交通信息有限公司,亿程信息,500-2000人,上市公司,天河区,产品经理,3-5年,本科,10k-15k,"工作氛围好,福利待遇高"
广州爱范儿科技股份有限公司,爱范儿,50-150人,上市公司,海珠区,新媒体产品经理,1-3年,本科,10k-20k,"福利全,空间大,环境好,创新"
宜信普惠信息咨询（北京）有限公司广州珠江新城分公司,宜人贷,2000人以上,上市公司,天河区,产品经理,不限,大专,8K-15K,福利好 无责任底薪 五险一金 双休
广州竞德信息技术有限公司,竞德信息,15-50人,不需要融资,天河区,产品经理,1-3年,本科,6k-8k,"年底奖金,午餐补助,员工活动,周末双休"
广州皇族文化传播有限公司,德国皇族钢琴,15-50人,不需要融资,越秀区,产品经理,3-5年,大专,8k-12k,"做五休二,高绩效奖,社保五险,老板好好"
广州云宏信息科技股份有限公司,云宏信息,150-500人,上市公司,天河区,产品经理,3-5年,本科,15k-25k,"上市公司,福利完善,晋升空间"
广州夏木悠悠智联有限公司,夏木悠悠,50-150人,A轮,天河区,高级产品经理,3-5年,本科,18k-35k,"股权激励,年度旅游,美女如云,环境高大尚"
广州实盈网络科技有限公司,实盈集团,50-150人,C轮,天河区,产品经理,3-5年,本科,10k-15k,"发展空间大,工作环境好,上班自由高,公司福利好"
蓝月亮（中国）有限公司,蓝月亮,2000人以上,不需要融资,黄埔区,产品经理,3-5年,本科,25k-50k,"薪酬福利佳,免费班车,免费住宿,五险一金"
广州一尚门百货有限公司,一尚门,50-150人,未融资,黄埔区,产品经理,3-5年,本科,20k-30k,"大平台,风口行业,李开复,创新工场"
广州市莱麦互联网科技有限公司,莱麦科技,15-50人,天使轮,天河区,产品经理,3-5年,不限,10k-15k,"五险一金,绩效奖金,弹性工作,双休"
广州玖晔网络科技有限公司,玖晔科技,50-150人,不需要融资,海珠区,产品经理,3-5年,本科,6k-12k,"五险一金,周末双休,年底双薪"
深圳格莱珉文化传播有限公司广州分公司,MAKA,50-150人,A轮,海珠区,工具产品经理,1-3年,本科,10k-20k,"员工旅游,周末双休,六险一金,带薪年假"
广州广府通信息科技有限公司,广州广府通,15-50人,未融资,越秀区,高级产品经理,1-3年,本科,10k-15k,"产品经理,高级,互联网"
广州中传信息科技有限公司,中传信息,50-150人,A轮,海珠区,产品经理,3-5年,本科,10k-20k,"产品经理,数值策划"
广州市星空学堂网络科技有限公司,星空学堂,15-50人,天使轮,天河区,产品经理,1-3年,本科,5k-8k,"环境清雅,弹性上班,年轻团队,发展潜力"
广东锦峰集团有限公司广州分公司,锦峰,500-2000人,不需要融资,天河区,产品经理-智能家居,3-5年,本科,20k-30k,"公司环境好,帅哥美女多,公司旅游"
北京网梯科技发展有限公司,网梯科技,150-500人,未融资,天河区,产品经理,1-3年,本科,8k-12k,福利待遇好，发展前景好
广州酷狗计算机科技有限公司,酷狗音乐,500-2000人,不需要融资,天河区,CXBU-产品经理,1-3年,本科,10k-20k,大平台
广州纳斯威尔信息技术有限公司,纳斯威尔信息,50-150人,不需要融资,越秀区,产品经理,3-5年,本科,8k-15k,"办公环境好,发展空间大,薪资福利高,团队融洽"
广州慧嘉元天广告传媒有限公司,广州慧嘉互动,50-150人,不需要融资,越秀区,产品经理,3-5年,大专,10k-20k,"周末双休,五险一金,弹性工作,高薪福利"
广州宸瑞软件科技有限公司,广州宸瑞,50-150人,天使轮,海珠区,产品经理,1-3年,本科,15k-20k,"周末双休,六险一金,绩效奖金,话补餐补"
广州智建云信息技术有限公司,智检 - 专注工程现场的SaaS平台,50-150人,A轮,天河区,产品经理,3-5年,本科,12k-24k,产品优势明显、弹性工作时间
广州市千云信息科技有限公司,每日V,50-150人,A轮,天河区,产品经理,1-3年,本科,6k-7k,"团队拓展,年终多薪,体检福利"
广州真知码信息科技有限公司,真知码,150-500人,不需要融资,天河区,产品经理,1-3年,本科,10k-12k,"五险一金,绩效奖金,节日礼物,周末双休"
广州食为天信息技术有限公司,食为天,150-500人,C轮,番禺区,产品经理,3-5年,大专,8k-16k,"弹性工作制,领导好,美女如云,学习型氛围"
广州齿腔医疗器械有限公司,招聘程序员,15-50人,未融资,荔湾区,产品经理,不限,不限,6k-9k,"住房补贴,五险一金,带薪假期,创业扶持"
前海爱讯科技（深圳）有限公司,爱讯集团,150-500人,不需要融资,海珠区,产品经理,1-3年,本科,8k-13k,"海外市场,涉机机会多,老板爱将,十分有挑战"
环球大爱（广东）网络科技有限公司,环球大爱网络科技公司,150-500人,不需要融资,越秀区,产品经理,3-5年,不限,8k-15k,"发展空间巨,社保齐全,公积金,双休"
北京瑞地科技有限公司,REDEFINE,150-500人,不需要融资,天河区,产品经理,3-5年,本科,25k-35k,口碑产品 大牛队友 期权激励
广东万丈金数信息技术股份有限公司,万丈金数,150-500人,B轮,天河区,产品经理,1-3年,本科,7k-10k,五险一金 双休 业绩奖金 年终奖 年度旅游
广东优计划科技有限公司,优计划科技,50-150人,未融资,天河区,中级产品经理,1-3年,本科,9k-15k,"距地铁近,五险一金,每周下午茶,氛围好"
广州华多网络科技有限公司,欢聚时代（YY Inc）,2000人以上,上市公司,番禺区,产品经理-内容拓展部,不限,本科,12k-24k,一线互联网公司，平台大机会多
广州嶝柏仕信息科技有限公司,活力圈,50-150人,A轮,越秀区,产品经理,不限,不限,6k-10k,"五金一险,节日福利,全勤奖,带薪年假"
广州金搏信息技术有限公司,金搏软件,150-500人,不需要融资,天河区,产品经理,3-5年,大专,10k-18k,氛围好 年假 地铁周边 下午茶
深圳市有礼派网络科技有限公司,有礼派,150-500人,A轮,天河区,产品经理,3-5年,本科,10k-15k,"晋升机会多,地铁上盖"
广州帅为网络科技有限公司,帅为网络,少于15人,天使轮,天河区,产品经理,1-3年,不限,5k-10k,"微信小程序,社交电商,快速成长"
广东精点数据科技股份有限公司,精点数据,150-500人,不需要融资,天河区,需求分析工程师/产品经理,1-3年,大专,8k-10k,"双休,扁平化,老板亲和"
广州富力地产股份有限公司,富力地产,2000人以上,上市公司,天河区,供应链产品经理,5-10年,本科,12k-23k,"上市公司,购房优惠,酒店内部价,学习氛围浓"
广东宜教通教育有限公司,宜教通教育,50-150人,不需要融资,天河区,产品经理,1-3年,大专,6k-10k,"产品设计,项目管理"
广东翔顺科技有限公司,翔顺科技,15-50人,不需要融资,海珠区,需求分析师、产品经理,3-5年,本科,8k-11k,"奖金高,福利好,环境高大上"
广州市骑鹅游信息技术咨询服务有限公司,骑鹅旅行,50-150人,A轮,海珠区,高级产品经理,3-5年,本科,15k-20k,"股权激励,弹性工作,大牛团队,十五天年假"
广州启生信息技术有限公司,39健康网,150-500人,上市公司,天河区,高级产品经理,3-5年,本科,10k-18k,"CBD办公,朝阳行业,大健康"
广州汉兴高科技有限公司,汉兴互联,少于15人,未融资,番禺区,产品经理,1-3年,大专,7k-10k,"优秀团队,弹性工作,绩效奖金,客户资源"
广州华讯通信技术有限公司,房博士,150-500人,未融资,天河区,产品经理,3-5年,本科,12k-18k,"周末双休,五险一金,带薪年假,年终奖"
广州营悦营养健康咨询有限公司,营悦营养,15-50人,天使轮,天河区,课程设计/产品经理,不限,本科,7k-14k,"朝阳行业,弹性自由,奖金期权,加速成长"
前海易物（深圳）电子商务有限公司广州分公司,前海易物,150-500人,A轮,海珠区,产品经理（语音）,1-3年,本科,20k-30k,"五险一金,带薪年假,员工旅游,节日福利"
深圳格莱珉文化传播有限公司广州分公司,MAKA,50-150人,A轮,海珠区,平台产品经理,1-3年,本科,10k-20k,"员工旅游,周末双休,六险一金,带薪年假"
广州市挚联数码科技有限公司,挚联,15-50人,未融资,天河区,产品经理,3-5年,本科,13K-26K,双休，社保，带薪年假，福利多
广州回头车信息科技有限公司,省省回头车,15-50人,A轮,天河区,产品经理,1-3年,大专,10k-18k,"周末双休,弹性工作,五险齐全,带薪年假"
广州泛舟信息科技有限公司,移触科技,15-50人,未融资,天河区,产品经理,3-5年,大专,10k-20k,"周末双休,超高额奖励,五险一金,办公氛围好"
