公司全名,公司简称,公司规模,融资阶段,区域,职位名称,工作经验,学历要求,工资,职位福利
氪金信息科技（天津）有限公司,Codrim,15-50人,天使轮,天河区,产品经理,不限,大专,5k-10k,"五险一金,周末双休,活动多,团队有活力"
腾宇融资租赁（广州）有限公司,腾宇科技,50-150人,不需要融资,天河区,产品经理,1-3年,大专,8k-12k,"发展平台广,薪酬福利好,地铁周边,周末双休"
万惠投资管理有限公司,PPmoney互联网金融平台,500-2000人,上市公司,天河区,产品经理,3-5年,本科,15k-25k,"互联网化,用户思维,产品设计"
广东省电信规划设计院有限公司,设计院,2000人以上,上市公司,天河区,产品经理,1-3年,本科,8k-12k,"周末双休,高温补贴,节日补贴,发展平台"
广州探迹科技有限公司,探迹,50-150人,B轮,番禺区,产品经理-大数据人工智能产品,1-3年,本科,10k-20k,"大数据AI,带薪年假,期权激励,五险一金"
广州博鳌纵横网络科技有限公司,汇桔网,2000人以上,C轮,天河区,产品经理,3-5年,本科,10k-20k,"发展空间,五险一金,股票期权,周末双休"
铂涛信息技术（广州）有限公司,铂涛旅行,500-2000人,未融资,海珠区,产品经理,1-3年,本科,10k-15k,"五险一金,绩效奖金,周末双休,超一亿会员"
广州云徙科技有限公司,云徙科技,150-500人,A轮,黄埔区,产品经理,3-5年,本科,13k-25k,A轮融资 待遇优厚 福利健全 股权激励
广州汇电云联互联网科技有限公司,汇电云联,50-150人,B轮,天河区,产品经理,3-5年,本科,10k-15k,"不打卡,扁平化,氛围好,高温补贴"
广州市特蕾美生物科技有限公司,广州特蕾美,50-150人,未融资,天河区,产品经理,1-3年,本科,8k-15k,"弹性上班,扁平管理,领导好,薪酬福利好"
广州云移信息科技有限公司,掌贝（云移科技）,500-2000人,B轮,,产品经理,1-3年,本科,14k-25k,五险一金、弹性工作、年终奖等42项福利
广州智悦网络科技有限公司,智悅网络,50-150人,A轮,天河区,产品经理,1-3年,本科,7k-9k,"五险一金,优秀团队,下午茶,节日福利"
珠海沙盒网络科技有限公司,沙盒网络,15-50人,A轮,天河区,产品经理,1-3年,大专,10k-15k,期权激励
广州市卓志物流服务有限公司,卓志,500-2000人,未融资,黄埔区,产品经理,3-5年,大专,10k-18k,"团队活跃,架构扁平,学习空间大"
氪金信息科技（天津）有限公司,Codrim,15-50人,天使轮,天河区,产品经理,1-3年,本科,10k-20k,"产品新颖,下午茶,双休"
广州探迹科技有限公司,探迹,50-150人,B轮,番禺区,高级产品经理,3-5年,本科,15k-30k,"大数据AI,五险一金,扁平管理,期权激励"
有米科技股份有限公司,有米科技,500-2000人,上市公司,番禺区,产品经理,3-5年,本科,10k-20k,"六险一金,平台广阔,年度旅游,项目奖金"
广州三尺信息科技有限公司,三尺科技,50-150人,A轮,天河区,产品经理,1-3年,本科,7k-13k,"自家产品,开展空间大,用户规模大,技术大牛"
广东亿迅科技有限公司,广东亿迅,2000人以上,不需要融资,天河区,产品经理/顾问,5-10年,不限,10k-20k,"大数据平台,千万级用户"
广东曼拓信息科技有限公司,广东曼拓信息科技有限公司,50-150人,上市公司,天河区,产品经理,3-5年,本科,25k-50k,"背景硬,团队好,领导好,创新项目"
广州博鳌纵横网络科技有限公司,汇桔网,2000人以上,C轮,萝岗区,产品经理,3-5年,本科,15k-25k,双休，五险一金，班车，期权，年假
广州市卓志物流服务有限公司,卓志,500-2000人,未融资,黄埔区,产品经理,3-5年,大专,12k-20k,"业务体量大,行业领先,工作增值高"
广州大象健康科技有限公司,健康猫,500-2000人,A轮,天河区,产品经理,3-5年,本科,10k-18k,"五险一金,带薪年假,培训拓展,年终奖金"
广州凯晟信息科技有限公司,凯晟科技,50-150人,不需要融资,天河区,产品经理,3-5年,大专,14k-18k,"福利齐全,大小周休息,朝九晚六"
广州牧云网络科技有限公司,美甲帮,150-500人,B轮,天河区,高级产品经理,3-5年,本科,10k-15k,"五险一金,团队氛围好,成长空间大"
广州市时代新科技有限公司,时代科技,150-500人,不需要融资,越秀区,产品经理,3-5年,本科,8k-12k,"每周下午茶,五险一金,晋升,周末双休"
广州市骑鹅游信息技术咨询服务有限公司,骑鹅旅行,50-150人,A轮,海珠区,产品经理,3-5年,本科,10k-20k,五险一金、15天带薪年假、带薪病假
