公司全名,公司简称,公司规模,融资阶段,区域,行业,职位名称,工作性质,一级类别,二级类别,工作经验,学历要求,工资,职位福利,工作年限,经验要求,salary,月工资
深圳市递四方信息科技有限公司,4PX,500-2000人,D轮及以上,宝安区,"移动互联网,电子商务",数据分析,全职,产品/需求/项目类,数据分析,不限,大专,4k-7k,培训 晋升 平台大,[],0.0,"['4', '7']",4.75
深圳市名瑞德国际金融服务有限公司,深圳市名瑞德国际金融服务有限公司,50-150人,上市公司,福田区,金融,数据分析专员/助理,全职,金融类,证券/期货,不限,大专,8k-10k,"福利待遇好,年底双薪,周末双休,晋升空间大",[],0.0,"['8', '10']",8.5
深圳白骑士大数据有限公司,深圳白骑士大数据有限公司,50-150人,A轮,南山区,"企业服务,金融",数据分析总监,全职,开发/测试/运维类,数据开发,5-10年,硕士,38k-65k,"平台好,创新型,发展迅速,股权期权","['5', '10']",7.5,"['38', '65']",44.75
深圳赫美智慧科技有限公司,赫美智科,500-2000人,B轮,福田区,金融,中级数据分析师,全职,产品/需求/项目类,数据分析,不限,本科,7k-10k,互联网金融 上市公司 加班少 晋升空间,[],0.0,"['7', '10']",7.75
深圳市探娱互动科学文化有限公司,探娱互动科学@移动游戏发行,50-150人,C轮,南山区,游戏,数据分析师（985优先/强逻辑）,全职,产品/需求/项目类,数据分析,不限,本科,7k-14k,"除了努力和,奋斗还可以,加班加薪",[],0.0,"['7', '14']",8.75
北京字节跳动科技有限公司,字节跳动,2000人以上,C轮,宝安区,"移动互联网,数据服务",数据分析师,全职,产品/需求/项目类,数据分析,1-3年,本科,15k-30k,六险一金，弹性工作，免费三餐，餐补，租房补贴，带薪休假,"['1', '3']",2.0,"['15', '30']",18.75
珠海市魅族科技有限公司,魅族,2000人以上,A轮,南山区,"移动互联网,硬件",数据分析师,全职,运营/编辑/客服,运营,3-5年,本科,15k-25k,"弹性工作,薪酬福利,企业文化","['3', '5']",4.0,"['15', '25']",17.5
深圳大宇无限科技有限公司,大宇无限,50-150人,B轮,南山区,移动互联网,数据分析工程师,全职,开发/测试/运维类,数据开发,1-3年,本科,18k-36k,"工程师文化,高期权回报,业务发展快,六险一金","['1', '3']",2.0,"['18', '36']",22.5
深圳市编玩边学教育科技有限公司,编玩边学,50-150人,B轮,南山区,"教育,游戏",数据分析师,全职,产品/需求/项目类,数据分析,1-3年,本科,10k-20k,"零食健身,五险一金,周末双休,氛围好","['1', '3']",2.0,"['10', '20']",12.5
深圳前海达飞金融服务有限公司,即有分期,2000人以上,D轮及以上,福田区,金融,数据分析师/数据分析专员,全职,设计,用户研究,1-3年,本科,8k-15k,福利好 氛围好 发展前景广阔,"['1', '3']",2.0,"['8', '15']",9.75
武汉佰钧成技术有限责任公司,武汉佰钧成技术有限公司,2000人以上,不需要融资,龙岗区,移动互联网,数据分析师-深圳-02522,全职,产品/需求/项目类,数据分析,3-5年,本科,6k-12k,平台好，学习空间大,"['3', '5']",4.0,"['6', '12']",7.5
深圳市一面网络技术有限公司,一面数据,15-50人,A轮,南山区,"移动互联网,数据服务",数据分析师（数据工程方向）,全职,开发/测试/运维类,数据开发,1-3年,本科,10k-20k,"大数据领域,人工智能,清华系大牛,技术氛围浓","['1', '3']",2.0,"['10', '20']",12.5
北京通力互联技术服务有限公司,通力互联,2000人以上,不需要融资,南山区,"电子商务,企业服务",数据分析师,全职,产品/需求/项目类,数据分析,1-3年,本科,10k-15k,"五险一金,带薪年假,年终奖,年底双薪","['1', '3']",2.0,"['10', '15']",11.25
深圳云天励飞技术有限公司,云天励飞,150-500人,A轮,福田区,移动互联网,数据分析工程师,全职,开发/测试/运维类,数据开发,3-5年,本科,15k-30k,"核心技术部,核心团队,发展平台好,公司福利好","['3', '5']",4.0,"['15', '30']",18.75
深圳市中安信业创业投资有限公司,中安信业,2000人以上,不需要融资,福田区,金融,数据分析师（大数据部）,全职,开发/测试/运维类,数据开发,3-5年,本科,10k-20k,公司平台大,"['3', '5']",4.0,"['10', '20']",12.5
凤金普惠信息咨询（深圳）有限公司,凤金普惠,150-500人,不需要融资,南山区,金融,数据分析岗,全职,金融类,银行,3-5年,本科,15k-30k,"年终奖,平台大,福利好,假期多","['3', '5']",4.0,"['15', '30']",18.75
深圳市赢众通金融信息服务有限责任公司,小赢科技,500-2000人,B轮,南山区,金融,数据分析专家,全职,市场/商务/销售类,市场/营销,3-5年,本科,20k-25k,五险一金、定期体检、绩效奖金、午餐补助,"['3', '5']",4.0,"['20', '25']",21.25
深圳白骑士大数据有限公司,深圳白骑士大数据有限公司,50-150人,A轮,南山区,"企业服务,金融",数据分析实习生,全职,开发/测试/运维类,数据开发,应届毕业生,本科,4k-6k,"转正机会,发展空间大,领导好",[],0.0,"['4', '6']",4.5
深圳赫美智慧科技有限公司,赫美智科,500-2000人,B轮,福田区,金融,数据分析主任,全职,产品/需求/项目类,数据分析,1-3年,本科,10k-15k,互联网金融 上市公司 加班少晋升空间,"['1', '3']",2.0,"['10', '15']",11.25
深圳市与杉科技有限公司,深圳市与杉科技有限公司,500-2000人,B轮,南山区,"金融,其他",数据分析主管/专员,全职,金融类,风控,1-3年,本科,6k-12k,"数据分析,风控策略","['1', '3']",2.0,"['6', '12']",7.5
北京京东世纪贸易有限公司,京东集团,2000人以上,上市公司,龙岗区,"电子商务,数据服务",数据分析师,全职,产品/需求/项目类,数据分析,5-10年,本科,10k-20k,"五险一金,周末双休,餐补,免费班车","['5', '10']",7.5,"['10', '20']",12.5
维也纳酒店有限公司,维也纳酒店有限公司,2000人以上,C轮,龙华新区,"生活服务,分类信息",数据分析师,全职,产品/需求/项目类,数据分析,3-5年,本科,10k-15k,"发展大,提升快","['3', '5']",4.0,"['10', '15']",11.25
深圳市泉眼网络科技有限公司,百灵鸟,500-2000人,不需要融资,南山区,社交网络,数据分析师,全职,开发/测试/运维类,数据开发,5-10年,本科,20k-40k,大牛云集,"['5', '10']",7.5,"['20', '40']",25.0
深圳全棉时代科技有限公司,全棉时代,500-2000人,A轮,龙华新区,"电子商务,其他",数据分析师（官网）,全职,产品/需求/项目类,数据分析,3-5年,本科,10k-18k,"精英团队,千万级用户,高并发系统,福利待","['3', '5']",4.0,"['10', '18']",12.0
维沃移动通信有限公司,vivo,2000人以上,未融资,福田区,移动互联网,大数据分析师,全职,开发/测试/运维类,数据开发,5-10年,本科,25k-50k,"交通便利,福利好,氛围好","['5', '10']",7.5,"['25', '50']",31.25
深圳市名瑞德国际金融服务有限公司,深圳市名瑞德国际金融服务有限公司,50-150人,上市公司,福田区,金融,数据分析专员/金融助理,全职,金融类,证券/期货,不限,大专,6k-8k,"免费培训,晋升空间大,外出旅游,周末双休",[],0.0,"['6', '8']",6.5
