公司全名,公司简称,公司规模,融资阶段,区域,行业,职位名称,工作性质,一级类别,二级类别,工作经验,学历要求,工资,职位福利,工作年限,经验要求,salary,月工资
广东省电信规划设计院有限公司,设计院,2000人以上,上市公司,天河区,"移动互联网,金融",产品经理,全职,产品/需求/项目类,产品设计/需求分析,3-5年,本科,9k-15k,"周末双休,节日福利,高温补贴,带薪年假","['3', '5']",4.0,"['9', '15']",10.5
广州市钱大妈农产品有限公司,钱大妈,500-2000人,天使轮,海珠区,"O2O,生活服务",产品经理,全职,产品/需求/项目类,产品设计/需求分析,3-5年,硕士,20k-25k,"包吃中餐,五险一金,发展空间大,领导好","['3', '5']",4.0,"['20', '25']",21.25
佛山市咔嚓购信息技术有限公司,酒咔嚓,15-50人,A轮,越秀区,"移动互联网,生活服务",产品经理,全职,产品,产品经理,3-5年,本科,8k-15k,喝着世界级美酒快乐工作！,"['3', '5']",4.0,"['8', '15']",9.75
深圳乐摇摇信息科技有限公司广州分公司,乐摇摇,150-500人,B轮,番禺区,移动互联网,产品经理,全职,产品/需求/项目类,产品设计/需求分析,3-5年,本科,13K-20K,"六险一金,期权激励,氛围好,扁平化","['3', '5']",4.0,"['13', '20']",14.75
广州诗悦网络科技有限公司,诗悦网络,150-500人,不需要融资,天河区,游戏,产品经理,全职,产品/需求/项目类,产品设计/需求分析,3-5年,本科,10k-20k,"氛围好,团队靠谱,破亿流水","['3', '5']",4.0,"['10', '20']",12.5
信息技术力量（成都）有限公司,itpower,50-150人,未融资,黄埔区,移动互联网 数据服务,产品经理,全职,产品/需求/项目类,产品设计/需求分析,3-5年,本科,15k-20k,"环境小清新,老板人好","['3', '5']",4.0,"['15', '20']",16.25
氪金信息科技（天津）有限公司,Codrim,15-50人,天使轮,天河区,"移动互联网,广告营销",产品经理,全职,产品/需求/项目类,产品设计/需求分析,1-3年,本科,10k-20k,"产品新颖,下午茶,双休","['1', '3']",2.0,"['10', '20']",12.5
广州富米科技有限公司,一手服装批发APP,150-500人,A轮,荔湾区,"移动互联网,电子商务",产品经理,全职,产品/需求/项目类,产品设计/需求分析,1-3年,本科,20k-30k,"项目前景好,团队活跃,市场空间大","['1', '3']",2.0,"['20', '30']",22.5
广东程丰智运科技有限公司,程丰智运,少于15人,天使轮,白云区,企业服务、移动互联网,产品经理,全职,产品/需求/项目类,产品设计/需求分析,3-5年,不限,10k-20k,"五险一金,午餐,出国机会,绩效奖金","['3', '5']",4.0,"['10', '20']",12.5
广州智安天使网络科技有限公司,智安天使科技,50-150人,不需要融资,天河区,"移动互联网,广告营销",产品经理,全职,产品/需求/项目类,数据分析,1-3年,大专,7k-8k,"周末双休,五险一金,高温补贴,节假日福利","['1', '3']",2.0,"['7', '8']",7.25
广州柏视医疗科技有限公司,柏视医疗,15-50人,A轮,海珠区,"医疗健康,数据服务",产品经理,全职,产品/需求/项目类,产品设计/需求分析,3-5年,本科,15k-25k,"人工智能,顶级团队,高成长,前沿行业","['3', '5']",4.0,"['15', '25']",17.5
广州探迹科技有限公司,探迹,50-150人,B轮,番禺区,"数据服务,企业服务",产品经理-大数据人工智能产品,全职,产品,产品经理/产品设计师,1-3年,本科,10k-20k,"大数据AI,带薪年假,期权激励,五险一金","['1', '3']",2.0,"['10', '20']",12.5
